Date,predicted_mean
2022-06-05,18.971033915432216
2022-06-12,26.239512410410917
2022-06-19,29.02432529237999
2022-06-26,30.09128625166995
2022-07-03,30.500076980849574
2022-07-10,30.656699262862983
2022-07-17,30.7167068351294
2022-07-24,30.739697872439155
2022-07-31,30.74850655735365
2022-08-07,30.751881478148977
2022-08-14,30.753174530458747
2022-08-21,30.753669944833543
2022-08-28,30.753859755718146
2022-09-04,30.753932479025636
2022-09-11,30.753960341913814
2022-09-18,30.75397101717824
2022-09-25,30.753975107252103
2022-10-02,30.75397667430501
2022-10-09,30.75397727469877
2022-10-16,30.753977504730994
2022-10-23,30.75397759286453
2022-10-30,30.753977626631624
2022-11-06,30.753977639569
2022-11-13,30.753977644525772
